measured_height, control_signal, filtered_value
20,x,0       x
18,-2,0       0
19,1,0       0
19,0,0      18
19,0,0      16
19,0,0      18
19,0,0      18
19,0,0      18
19,0,0      18
19,0,0      18
200,1,0      18
1,-199,0      18
22,21,0      18
20,-2,0     181
20,0,0       2
20,0,0      37
20,0,0      18
20,0,0      21
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
20,0,0      20
20,0,0      19
