measured_height, control_signal, filtered_value
20,x,x
18,-2,0
19,1,0
19,0,18
19,0,16
19,0,18
19,0,18
19,0,18
19,0,18
19,0,18
200,1,18
1,-199,18
22,21,18
20,-2,181
20,0,2
20,0,37
20,0,18
20,0,21
20,0,19
20,0,20
50,0,19
18,-32,20
21,3,19
20,-1,47
20,0,18
20,0,23
20,0,19
20,0,20
20,0,19
20,0,20
100,0,19
13,-87,20
22,9,19
21,-1,92
21,0,13
21,0,29
20,-1,20
21,1,21
20,-1,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
20,0,20
